ax,ay,az,gx,gy,gz,mx,my,mz
-0.11,-0.01,-1.03,1.77,1.65,0.43,48.39,-24.96,-0.15
-0.11,-0.01,-1.04,2.14,1.83,0.49,47.88,-25.28,0.98
-0.11,-0.01,-1.04,2.14,1.83,0.49,47.88,-25.28,0.98
-0.11,-0.02,-1.05,1.10,1.77,0.61,47.88,-25.28,0.98
-0.11,-0.01,-1.05,-0.18,1.10,1.16,47.88,-25.28,0.98
-0.11,-0.01,-1.05,-0.18,1.10,1.16,47.88,-25.28,0.98
-0.11,0.00,-1.05,-1.10,0.49,1.34,47.88,-25.28,0.98
-0.11,0.00,-1.05,-1.10,0.49,1.34,47.88,-25.28,0.98
-0.11,0.00,-1.05,-1.53,-0.06,1.28,47.88,-25.28,0.98
-0.11,-0.01,-1.04,-1.95,-0.73,1.04,47.88,-25.28,0.98
-0.11,-0.01,-1.04,-1.95,-0.73,1.04,47.88,-25.28,0.98
-0.11,-0.01,-1.03,-2.44,-1.16,1.22,47.56,-25.11,0.28
-0.11,-0.01,-1.03,-1.53,-1.53,1.59,47.56,-25.11,0.28
-0.10,-0.01,-1.02,-1.53,-1.53,1.59,47.56,-25.11,0.28
-0.10,-0.02,-1.00,0.18,-1.65,1.71,47.56,-25.11,0.28
-0.10,-0.02,-1.00,0.18,-1.65,1.71,47.56,-25.11,0.28
-0.10,-0.03,-0.99,1.04,-1.04,1.71,47.56,-25.11,0.28
-0.10,-0.03,-0.99,2.14,-0.18,1.95,47.56,-25.11,0.28
-0.10,-0.03,-0.99,2.14,-0.18,1.95,47.56,-25.11,0.28
-0.10,-0.02,-1.01,3.30,0.73,2.20,47.56,-25.11,0.28
-0.10,-0.02,-1.01,3.30,0.73,2.20,47.56,-25.11,0.28
-0.10,-0.01,-1.02,4.64,1.53,1.95,47.46,-24.78,0.65
-0.10,-0.01,-1.03,5.43,2.26,1.83,47.46,-24.78,0.65
-0.10,-0.01,-1.03,5.43,2.26,1.83,47.46,-24.78,0.65
-0.10,-0.00,-1.03,5.25,2.26,1.77,47.46,-24.78,0.65
-0.10,-0.00,-1.03,5.25,2.26,1.77,47.46,-24.78,0.65
-0.10,0.02,-1.03,4.58,2.38,1.71,47.46,-24.78,0.65
-0.11,0.02,-1.05,3.78,2.50,1.10,47.46,-24.78,0.65
-0.11,0.02,-1.05,3.78,2.50,1.10,47.46,-24.78,0.65
-0.11,0.02,-1.06,3.17,1.95,0.18,47.46,-24.78,0.65
-0.11,0.02,-1.06,3.17,1.95,0.18,47.46,-24.78,0.65
-0.11,0.01,-1.07,2.26,1.16,-0.49,47.83,-24.63,1.40
-0.11,-0.02,-1.07,1.04,0.18,-0.98,47.83,-24.63,1.40
-0.11,-0.02,-1.07,1.04,0.18,-0.98,47.83,-24.63,1.40
-0.11,-0.04,-1.06,0.12,-1.34,-0.79,47.83,-24.63,1.40
-0.10,-0.04,-1.03,-1.53,-2.50,0.37,47.83,-24.63,1.40
-0.10,-0.04,-1.03,-1.53,-2.50,0.37,47.83,-24.63,1.40
-0.10,-0.03,-1.01,-3.91,-3.30,1.40,47.83,-24.63,1.40
-0.10,-0.03,-1.01,-3.91,-3.30,1.40,47.83,-24.63,1.40
-0.10,-0.03,-0.99,-4.82,-3.48,1.95,47.83,-24.63,1.40
-0.10,-0.01,-0.98,-3.78,-2.93,2.14,47.99,-24.30,0.33
-0.10,-0.01,-0.98,-3.78,-2.93,2.14,47.99,-24.30,0.33
-0.10,-0.03,-0.99,-0.98,-2.14,1.53,47.99,-24.30,0.33
-0.10,-0.03,-0.99,0.61,-1.28,1.34,47.99,-24.30,0.33
-0.10,-0.03,-1.00,0.61,-1.28,1.34,47.99,-24.30,0.33
-0.10,-0.00,-1.01,1.83,-1.10,1.28,47.99,-24.30,0.33
-0.10,-0.00,-1.01,1.83,-1.10,1.28,47.99,-24.30,0.33
-0.10,0.01,-1.03,3.23,-1.28,0.37,47.99,-24.30,0.33
-0.10,0.01,-1.03,6.41,-1.16,-0.55,47.99,-24.30,0.33
-0.10,0.00,-1.05,6.41,-1.16,-0.55,47.99,-24.30,0.33
-0.09,-0.02,-1.05,8.30,-0.92,-0.98,47.58,-23.88,0.00
-0.09,-0.02,-1.05,8.30,-0.92,-0.98,47.58,-23.88,0.00
-0.09,-0.03,-1.04,6.96,-1.28,-0.92,47.58,-23.88,0.00
-0.09,-0.00,-1.01,3.60,-1.65,-0.18,47.58,-23.88,0.00
-0.09,-0.00,-1.01,3.60,-1.65,-0.18,47.58,-23.88,0.00
-0.09,0.00,-1.00,2.32,-1.28,-0.06,47.58,-23.88,0.00
-0.09,0.00,-1.00,2.32,-1.28,-0.06,47.58,-23.88,0.00
-0.09,-0.02,-0.99,2.62,-0.55,-0.24,47.58,-23.88,0.00
-0.10,-0.04,-1.01,3.78,0.12,0.18,47.58,-23.88,0.00
-0.10,-0.04,-1.01,3.78,0.12,0.18,47.58,-23.88,0.00
-0.10,-0.05,-1.04,4.82,0.67,1.10,47.57,-24.12,-0.02
-0.10,-0.05,-1.04,5.19,0.92,2.14,47.57,-24.12,-0.02
-0.10,-0.04,-1.04,5.19,0.92,2.14,47.57,-24.12,-0.02
-0.10,-0.03,-1.05,4.27,0.92,2.99,47.57,-24.12,-0.02
-0.10,-0.03,-1.05,4.27,0.92,2.99,47.57,-24.12,-0.02
-0.09,-0.00,-1.04,3.23,0.06,3.42,47.57,-24.12,-0.02
-0.09,-0.00,-1.04,3.23,0.06,3.42,47.57,-24.12,-0.02
-0.09,0.01,-1.03,2.69,-0.67,3.30,47.57,-24.12,-0.02
-0.09,0.02,-1.03,2.75,-1.16,2.69,47.57,-24.12,-0.02
-0.09,0.02,-1.03,2.75,-1.16,2.69,47.57,-24.12,-0.02
-0.09,0.01,-1.02,2.26,-1.16,1.89,47.60,-23.99,1.11
-0.09,-0.00,-1.01,0.79,-0.31,1.46,47.60,-23.99,1.11
-0.09,-0.00,-1.01,0.79,-0.31,1.46,47.60,-23.99,1.11
-0.10,-0.00,-1.00,-0.49,0.67,1.34,47.60,-23.99,1.11
-0.10,-0.00,-1.00,-0.49,0.67,1.34,47.60,-23.99,1.11
-0.08,-0.01,-1.01,0.24,2.08,1.46,47.60,-23.99,1.11
-0.08,-0.01,-1.02,0.73,2.75,1.59,47.60,-23.99,1.11
-0.08,-0.01,-1.02,0.73,2.75,1.59,47.60,-23.99,1.11
-0.11,-0.02,-1.01,-1.04,2.87,2.01,47.60,-23.99,1.11
-0.11,-0.02,-1.01,-1.04,2.87,2.01,47.60,-23.99,1.11
-0.10,-0.04,-1.02,-0.85,3.60,2.44,47.60,-23.99,1.11
-0.10,-0.04,-1.02,-0.73,4.27,3.05,47.46,-24.15,1.59
-0.10,-0.02,-1.06,-0.73,4.27,3.05,47.46,-24.15,1.59
-0.11,-0.01,-1.05,-0.18,3.05,3.42,47.46,-24.15,1.59
-0.11,-0.01,-1.05,0.61,1.77,2.99,47.46,-24.15,1.59
-0.10,-0.00,-1.06,0.61,1.77,2.99,47.46,-24.15,1.59
-0.10,0.01,-1.03,-0.49,0.00,2.62,47.46,-24.15,1.59
-0.10,0.01,-1.03,-0.49,0.00,2.62,47.46,-24.15,1.59
-0.09,0.01,-1.01,0.12,-1.04,2.20,47.46,-24.15,1.59
-0.09,0.01,-1.01,0.12,-1.04,2.20,47.46,-24.15,1.59
-0.10,-0.02,-1.02,1.95,-0.92,1.34,47.46,-24.15,1.59
-0.10,-0.03,-0.99,2.44,-0.73,1.65,47.85,-23.77,1.01
-0.10,-0.03,-0.99,2.44,-0.73,1.65,47.85,-23.77,1.01
-0.11,-0.04,-0.98,4.21,0.49,2.20,47.85,-23.77,1.01
-0.07,-0.04,-1.01,6.23,2.01,2.93,47.85,-23.77,1.01
-0.07,-0.04,-1.01,6.23,2.01,2.93,47.85,-23.77,1.01
-0.07,-0.04,-1.01,5.43,2.87,3.72,47.85,-23.77,1.01
-0.07,-0.04,-1.01,5.43,2.87,3.72,47.85,-23.77,1.01
-0.07,-0.03,-1.00,4.15,3.17,4.52,47.85,-23.77,1.01
-0.07,-0.03,-1.00,5.07,4.03,4.58,47.85,-23.77,1.01
-0.07,-0.03,-1.00,5.07,4.03,4.58,47.85,-23.77,1.01
