ax,ay,az,gx,gy,gz,mx,my,mz
0.00,-1.01,0.00,0.37,2.26,0.00,38.01,12.84,36.61
0.00,-1.01,0.01,0.37,2.50,-0.31,38.01,12.84,36.61
0.00,-1.01,0.01,0.67,2.69,-0.37,38.01,12.84,36.61
0.00,-1.01,0.01,0.67,2.69,-0.37,38.01,12.84,36.61
0.00,-1.02,0.00,1.40,2.99,-0.43,38.01,12.84,36.61
0.00,-1.02,0.00,1.40,2.99,-0.43,38.01,12.84,36.61
0.00,-1.02,-0.00,1.34,2.93,-0.43,38.01,12.84,36.61
0.00,-1.02,-0.00,1.04,2.75,-0.18,38.01,12.84,36.61
0.00,-1.02,-0.00,1.04,2.75,-0.18,38.01,12.84,36.61
0.00,-1.02,0.00,0.73,2.38,0.00,38.05,13.15,36.30
0.00,-1.02,0.00,0.55,2.20,0.06,38.05,13.15,36.30
0.00,-1.01,0.01,0.55,2.20,0.06,38.05,13.15,36.30
0.00,-1.01,0.01,0.55,2.14,0.24,38.05,13.15,36.30
0.00,-1.01,0.01,0.55,2.14,0.24,38.05,13.15,36.30
0.00,-1.02,0.01,0.79,2.14,0.43,38.05,13.15,36.30
0.00,-1.02,0.01,0.79,2.14,0.43,38.05,13.15,36.30
0.00,-1.02,0.01,1.34,2.14,0.37,38.05,13.15,36.30
0.00,-1.02,0.00,1.71,2.08,0.49,38.05,13.15,36.30
0.00,-1.02,0.00,1.71,2.08,0.49,38.05,13.15,36.30
0.00,-1.01,0.01,1.95,1.83,0.61,37.95,13.10,36.29
0.00,-1.01,0.01,2.14,1.89,0.67,37.95,13.10,36.29
0.00,-1.01,0.01,2.14,1.89,0.67,37.95,13.10,36.29
0.00,-1.01,0.01,2.38,1.77,0.61,37.95,13.10,36.29
0.00,-1.01,0.01,2.38,1.77,0.61,37.95,13.10,36.29
0.00,-1.02,0.01,3.11,1.65,0.79,37.95,13.10,36.29
0.00,-1.01,0.01,3.54,1.83,0.85,37.95,13.10,36.29
0.00,-1.01,0.01,3.54,1.83,0.85,37.95,13.10,36.29
0.00,-1.01,0.02,4.33,1.83,0.98,37.95,13.10,36.29
0.00,-1.01,0.02,4.33,1.83,0.98,37.95,13.10,36.29
0.00,-1.02,0.01,5.25,2.20,0.98,38.24,12.93,36.87
0.00,-1.03,0.00,5.43,2.44,0.92,38.24,12.93,36.87
0.00,-1.03,0.00,5.43,2.44,0.92,38.24,12.93,36.87
0.01,-1.02,0.01,5.31,1.89,1.34,38.24,12.93,36.87
0.01,-1.02,0.01,5.49,1.95,1.40,38.24,12.93,36.87
0.01,-1.02,0.00,5.49,1.95,1.40,38.24,12.93,36.87
0.01,-1.02,-0.00,5.43,2.32,1.22,38.24,12.93,36.87
0.01,-1.02,-0.00,5.43,2.32,1.22,38.24,12.93,36.87
0.01,-1.01,-0.01,4.82,2.50,0.85,38.24,12.93,36.87
0.01,-1.01,-0.01,3.72,2.69,0.43,38.24,12.93,36.87
0.01,-1.01,-0.01,3.72,2.69,0.43,37.79,13.21,36.34
0.01,-1.00,0.00,1.59,1.95,0.24,37.79,13.21,36.34
0.01,-1.00,0.00,1.16,1.83,0.18,37.79,13.21,36.34
0.01,-1.01,0.00,1.16,1.83,0.18,37.79,13.21,36.34
0.00,-1.03,-0.00,1.16,2.26,0.00,37.79,13.21,36.34
0.00,-1.03,-0.00,1.16,2.26,0.00,37.79,13.21,36.34
0.00,-1.02,0.01,1.04,1.53,0.06,37.79,13.21,36.34
0.00,-1.02,0.01,1.04,1.53,0.06,37.79,13.21,36.34
0.00,-1.01,0.01,1.46,1.77,0.00,37.79,13.21,36.34
0.00,-1.02,0.00,2.20,2.20,-0.18,37.79,13.21,36.34
0.00,-1.02,0.00,2.20,2.20,-0.18,37.67,13.53,36.46
0.00,-1.02,-0.00,2.08,2.50,-0.18,37.67,13.53,36.46
0.00,-1.02,-0.00,1.04,2.08,0.06,37.67,13.53,36.46
0.00,-1.02,-0.00,1.04,2.08,0.06,37.67,13.53,36.46
0.00,-1.01,0.00,-0.31,1.40,0.49,37.67,13.53,36.46
0.00,-1.01,0.00,-0.31,1.40,0.49,37.67,13.53,36.46
0.00,-1.02,0.01,-0.79,1.40,0.73,37.67,13.53,36.46
0.00,-1.02,0.01,-0.18,1.77,0.67,37.67,13.53,36.46
0.00,-1.02,0.01,-0.18,1.77,0.67,37.67,13.53,36.46
0.00,-1.02,0.01,1.04,1.65,1.10,37.67,13.53,36.46
0.00,-1.02,0.01,1.04,1.65,1.10,38.13,13.11,36.06
0.00,-1.01,0.02,1.89,1.53,1.40,38.13,13.11,36.06
0.00,-1.01,0.02,2.93,2.01,1.16,38.13,13.11,36.06
0.00,-1.01,0.02,2.93,2.01,1.16,38.13,13.11,36.06
0.01,-1.01,0.02,4.33,2.56,0.79,38.13,13.11,36.06
0.01,-1.01,0.02,5.98,2.99,0.61,38.13,13.11,36.06
0.01,-1.00,0.01,5.98,2.99,0.61,38.13,13.11,36.06
0.01,-1.01,0.01,7.14,3.48,0.61,38.13,13.11,36.06
0.01,-1.01,0.01,7.14,3.48,0.61,38.13,13.11,36.06
0.01,-1.01,0.01,7.75,4.03,0.18,38.13,13.11,36.06
0.01,-1.01,0.01,7.51,4.52,-0.18,38.76,12.76,36.69
0.00,-1.03,-0.03,7.51,4.52,-0.18,38.76,12.76,36.69
0.00,-1.02,-0.00,4.88,3.60,-0.24,38.76,12.76,36.69
0.00,-1.02,-0.00,4.88,3.60,-0.24,38.76,12.76,36.69
0.01,-1.01,0.00,3.23,2.62,-0.12,38.76,12.76,36.69
0.00,-1.01,0.00,3.11,3.42,-0.67,38.76,12.76,36.69
0.00,-1.01,0.00,3.11,3.42,-0.67,38.76,12.76,36.69
0.00,-1.02,0.01,2.87,3.66,-0.85,38.76,12.76,36.69
0.00,-1.02,0.01,2.87,3.66,-0.85,38.76,12.76,36.69
0.00,-1.02,0.01,3.05,3.54,-0.92,38.76,12.76,36.69
0.00,-1.01,0.01,3.60,3.36,-0.67,37.82,13.16,37.27
0.00,-1.01,0.01,3.60,3.36,-0.67,37.82,13.16,37.27
0.00,-1.01,0.01,4.27,3.72,-0.67,37.82,13.16,37.27
0.00,-1.01,0.01,5.25,3.72,-0.61,37.82,13.16,37.27
0.00,-1.01,0.01,5.25,3.72,-0.61,37.82,13.16,37.27
0.00,-1.02,0.01,6.29,3.72,-0.61,37.82,13.16,37.27
0.00,-1.02,0.01,6.29,3.72,-0.61,37.82,13.16,37.27
0.00,-1.01,0.01,7.57,3.91,-0.24,37.82,13.16,37.27
0.00,-1.01,0.01,8.91,3.78,0.00,37.82,13.16,37.27
0.00,-1.01,0.01,8.91,3.78,0.00,37.82,13.16,37.27
-0.00,-1.01,0.00,10.01,4.03,0.18,38.06,13.00,35.73
-0.00,-1.01,0.00,10.68,4.27,0.12,38.06,13.00,35.73
0.00,-1.02,-0.01,10.68,4.27,0.12,38.06,13.00,35.73
0.00,-1.02,-0.01,10.19,3.97,0.55,38.06,13.00,35.73
0.00,-1.02,-0.01,10.19,3.97,0.55,38.06,13.00,35.73
-0.00,-1.02,-0.01,9.46,3.30,1.28,38.06,13.00,35.73
-0.00,-1.02,-0.01,8.91,2.81,1.71,38.06,13.00,35.73
-0.00,-1.03,-0.02,8.91,2.81,1.71,38.06,13.00,35.73
0.18,-0.63,0.14,8.06,2.38,2.26,38.06,13.00,35.73
0.18,-0.63,0.14,8.06,2.38,2.26,38.06,13.00,35.73
-0.51,-2.18,-1.98,-26.98,37.90,-11.29,37.55,13.21,37.06
0.06,-0.40,1.47,-97.29,-11.11,31.74,37.55,13.21,37.06
0.06,-0.40,1.47,-97.29,-11.11,31.74,37.55,13.21,37.06
0.14,-0.69,0.59,-12.27,-47.36,22.09,37.55,13.21,37.06
0.14,-0.69,0.59,-12.27,-47.36,22.09,37.55,13.21,37.06
-0.04,-1.10,-0.05,47.00,24.29,-6.77,37.55,13.21,37.06
0.01,-1.15,-0.39,45.96,27.28,-7.63,37.55,13.21,37.06
0.01,-1.15,-0.39,45.96,27.28,-7.63,37.55,13.21,37.06
0.03,-0.91,0.22,19.47,-1.40,3.11,37.55,13.21,37.06
0.03,-0.91,0.22,19.47,-1.40,3.11,37.55,13.21,37.06
0.01,-1.04,-0.03,24.84,10.50,-2.99,37.85,12.67,36.91
0.01,-1.03,-0.11,28.87,12.76,-4.58,37.85,12.67,36.91
0.01,-1.03,-0.11,28.87,12.76,-4.58,37.85,12.67,36.91
0.03,-1.01,-0.10,21.42,5.80,-3.05,37.85,12.67,36.91
-0.02,-1.06,-0.04,10.80,2.81,-4.58,37.85,12.67,36.91
-0.02,-1.06,-0.04,10.80,2.81,-4.58,37.85,12.67,36.91
-0.01,-1.04,-0.08,2.14,1.89,-3.48,37.85,12.67,36.91
