ax,ay,az,gx,gy,gz,mx,my,mz
0.97,-0.09,-0.05,6.10,2.99,6.04,35.25,-10.06,-14.55
0.97,-0.09,-0.05,6.10,2.99,6.04,35.25,-10.06,-14.55
0.96,-0.07,-0.05,6.47,2.69,6.16,35.25,-10.06,-14.55
0.96,-0.07,-0.05,5.80,1.83,5.13,35.25,-10.06,-14.55
0.96,-0.07,-0.04,5.80,1.83,5.13,35.25,-10.06,-14.55
0.95,-0.06,-0.04,5.07,1.77,3.85,35.25,-10.06,-14.55
0.95,-0.06,-0.04,5.07,1.77,3.85,35.51,-10.55,-14.59
0.95,-0.07,-0.03,3.85,2.08,2.26,35.51,-10.55,-14.59
0.96,-0.07,-0.03,2.93,2.56,0.55,35.51,-10.55,-14.59
0.96,-0.07,-0.03,2.93,2.56,0.55,35.51,-10.55,-14.59
0.97,-0.07,-0.04,2.93,2.56,0.00,35.51,-10.55,-14.59
0.97,-0.07,-0.04,2.26,2.75,-0.61,35.51,-10.55,-14.59
0.97,-0.08,-0.05,2.26,2.75,-0.61,35.51,-10.55,-14.59
0.98,-0.09,-0.05,1.71,2.69,-0.73,35.51,-10.55,-14.59
0.98,-0.09,-0.05,1.71,2.69,-0.73,35.51,-10.55,-14.59
0.98,-0.10,-0.04,2.26,1.95,-0.31,35.51,-10.55,-14.59
0.98,-0.10,-0.04,2.14,2.01,0.31,35.38,-10.17,-14.27
0.97,-0.10,-0.04,2.14,2.01,0.31,35.38,-10.17,-14.27
0.98,-0.10,-0.04,2.32,2.01,0.79,35.38,-10.17,-14.27
0.98,-0.10,-0.04,2.32,2.01,0.79,35.38,-10.17,-14.27
0.97,-0.10,-0.04,2.75,1.40,1.40,35.38,-10.17,-14.27
0.97,-0.11,-0.05,3.17,1.22,2.50,35.38,-10.17,-14.27
0.97,-0.11,-0.05,3.17,1.22,2.50,35.38,-10.17,-14.27
0.97,-0.10,-0.04,3.78,0.98,3.30,35.38,-10.17,-14.27
0.97,-0.10,-0.04,3.78,0.98,3.30,35.38,-10.17,-14.27
0.96,-0.09,-0.03,4.27,0.43,4.09,35.38,-10.17,-14.27
0.96,-0.09,-0.03,4.52,0.37,4.52,35.03,-10.46,-14.22
0.96,-0.09,-0.03,4.52,0.37,4.52,35.03,-10.46,-14.22
0.96,-0.08,-0.04,5.25,0.98,5.31,35.03,-10.46,-14.22
0.97,-0.08,-0.04,5.98,0.92,5.80,35.03,-10.46,-14.22
0.97,-0.08,-0.04,5.98,0.92,5.80,35.03,-10.46,-14.22
0.97,-0.08,-0.03,5.43,0.79,5.62,35.03,-10.46,-14.22
0.97,-0.08,-0.03,5.43,0.79,5.62,35.03,-10.46,-14.22
0.97,-0.07,-0.03,5.62,0.92,5.55,35.03,-10.46,-14.22
0.97,-0.06,-0.03,5.49,1.46,4.94,35.03,-10.46,-14.22
0.97,-0.06,-0.03,5.49,1.46,4.94,35.03,-10.46,-14.22
0.98,-0.07,-0.03,3.54,2.20,4.03,34.57,-10.21,-13.15
0.98,-0.07,-0.03,2.75,1.83,2.69,34.57,-10.21,-13.15
0.98,-0.07,-0.04,2.75,1.83,2.69,34.57,-10.21,-13.15
0.98,-0.07,-0.04,2.50,2.01,2.26,34.57,-10.21,-13.15
0.98,-0.07,-0.04,2.50,2.01,2.26,34.57,-10.21,-13.15
0.99,-0.08,-0.05,2.32,1.16,0.92,34.57,-10.21,-13.15
0.99,-0.08,-0.05,1.95,0.18,0.92,34.57,-10.21,-13.15
0.98,-0.08,-0.04,1.95,0.18,0.92,34.57,-10.21,-13.15
0.97,-0.09,-0.02,2.56,-0.43,1.65,34.57,-10.21,-13.15
0.97,-0.09,-0.02,2.56,-0.43,1.65,34.57,-10.21,-13.15
0.98,-0.10,-0.03,3.23,-0.06,2.69,35.05,-10.22,-14.36
0.97,-0.09,-0.03,3.48,0.06,3.54,35.05,-10.22,-14.36
0.97,-0.09,-0.03,3.48,0.06,3.54,35.05,-10.22,-14.36
0.97,-0.08,-0.02,4.03,0.24,4.94,35.05,-10.22,-14.36
0.97,-0.08,-0.02,4.82,0.98,5.80,35.05,-10.22,-14.36
0.97,-0.08,-0.02,4.82,0.98,5.80,35.05,-10.22,-14.36
0.96,-0.08,-0.02,4.76,2.20,6.04,35.05,-10.22,-14.36
0.96,-0.08,-0.02,4.76,2.20,6.04,35.05,-10.22,-14.36
0.97,-0.07,-0.03,6.04,2.50,6.23,35.05,-10.22,-14.36
0.97,-0.07,-0.03,5.25,3.36,6.04,35.07,-10.49,-14.27
0.97,-0.06,-0.03,5.25,3.36,6.04,35.07,-10.49,-14.27
0.97,-0.05,-0.03,6.53,1.95,4.82,35.07,-10.49,-14.27
0.97,-0.05,-0.03,6.53,1.95,4.82,35.07,-10.49,-14.27
0.97,-0.05,-0.04,5.13,3.23,3.72,35.07,-10.49,-14.27
0.98,-0.06,-0.04,4.33,3.85,2.20,35.07,-10.49,-14.27
0.98,-0.06,-0.04,4.33,3.85,2.20,35.07,-10.49,-14.27
0.98,-0.07,-0.04,5.86,2.38,1.53,35.07,-10.49,-14.27
0.98,-0.07,-0.04,5.86,2.38,1.53,35.07,-10.49,-14.27
0.97,-0.08,-0.04,3.85,3.05,1.53,35.07,-10.49,-14.27
0.98,-0.08,-0.04,4.39,2.20,1.53,34.67,-10.55,-13.13
0.98,-0.08,-0.04,4.39,2.20,1.53,34.67,-10.55,-13.13
0.97,-0.08,-0.04,3.54,2.38,2.56,34.67,-10.55,-13.13
0.96,-0.08,-0.03,3.78,1.65,3.30,34.67,-10.55,-13.13
0.96,-0.08,-0.03,3.78,1.65,3.30,34.67,-10.55,-13.13
0.97,-0.09,-0.03,3.97,2.14,4.76,34.67,-10.55,-13.13
0.97,-0.09,-0.03,3.97,2.14,4.76,34.67,-10.55,-13.13
0.97,-0.09,-0.03,5.74,2.01,6.47,34.67,-10.55,-13.13
0.97,-0.09,-0.03,5.49,3.78,8.48,34.67,-10.55,-13.13
0.97,-0.09,-0.03,5.49,3.78,8.48,34.67,-10.55,-13.13
0.97,-0.08,-0.04,6.65,3.42,9.03,34.40,-10.74,-14.90
0.97,-0.08,-0.04,5.92,4.09,9.64,34.40,-10.74,-14.90
0.97,-0.07,-0.05,5.92,4.09,9.64,34.40,-10.74,-14.90
0.97,-0.06,-0.04,7.02,2.93,9.09,34.40,-10.74,-14.90
