ax,ay,az,gx,gy,gz,mx,my,mz
0.01,-0.02,0.96,3.11,1.71,0.37,34.11,34.84,33.69
0.01,-0.02,0.96,3.11,1.71,0.37,34.11,34.84,33.69
0.01,-0.02,0.96,2.99,1.46,0.31,34.11,34.84,33.69
0.01,-0.02,0.96,1.59,2.69,0.73,34.11,34.84,33.69
0.01,-0.02,0.96,1.59,2.69,0.73,34.11,34.84,33.69
0.01,-0.02,0.96,2.81,2.01,0.61,34.11,34.84,33.69
0.01,-0.02,0.96,2.81,2.01,0.61,34.11,34.84,33.69
0.01,-0.02,0.97,3.54,1.40,0.37,34.11,34.84,33.69
0.01,-0.02,0.97,4.09,0.73,0.24,34.09,35.21,33.56
0.01,-0.02,0.97,4.09,0.73,0.24,34.09,35.21,33.56
0.01,-0.02,0.96,3.85,0.92,0.00,34.09,35.21,33.56
0.01,-0.02,0.96,2.56,1.83,0.37,34.09,35.21,33.56
0.01,-0.02,0.96,2.56,1.83,0.37,34.09,35.21,33.56
0.01,-0.02,0.96,1.53,2.69,0.73,34.09,35.21,33.56
0.01,-0.02,0.96,1.53,2.69,0.73,34.09,35.21,33.56
0.01,-0.02,0.96,3.66,1.16,0.37,34.09,35.21,33.56
0.01,-0.02,0.96,2.44,2.01,0.37,34.09,35.21,33.56
0.01,-0.02,0.97,2.44,2.01,0.37,34.09,35.21,33.56
0.01,-0.02,0.96,2.87,1.83,0.43,33.85,34.88,33.74
0.01,-0.02,0.96,3.36,1.34,0.24,33.85,34.88,33.74
0.01,-0.02,0.96,3.36,1.34,0.24,33.85,34.88,33.74
0.01,-0.02,0.96,1.71,2.38,0.55,33.85,34.88,33.74
0.01,-0.02,0.96,1.71,2.38,0.55,33.85,34.88,33.74
0.01,-0.02,0.96,1.10,2.93,0.79,33.85,34.88,33.74
0.01,-0.02,0.96,1.95,2.69,0.73,33.85,34.88,33.74
0.01,-0.02,0.96,1.95,2.69,0.73,33.85,34.88,33.74
0.01,-0.02,0.96,2.01,2.69,0.67,33.85,34.88,33.74
0.01,-0.02,0.96,2.01,2.69,0.67,33.85,34.88,33.74
0.01,-0.02,0.97,3.85,1.04,0.18,33.61,35.11,33.64
0.01,-0.02,0.97,3.97,0.73,0.18,33.61,35.11,33.64
0.01,-0.02,0.97,3.97,0.73,0.18,33.61,35.11,33.64
0.01,-0.02,0.96,3.54,0.79,0.06,33.61,35.11,33.64
0.01,-0.02,0.96,3.54,0.79,0.06,33.61,35.11,33.64
0.01,-0.02,0.96,2.75,1.65,0.12,33.61,35.11,33.64
0.01,-0.02,0.96,1.46,2.99,0.67,33.61,35.11,33.64
0.01,-0.02,0.96,1.46,2.99,0.67,33.61,35.11,33.64
0.01,-0.02,0.96,2.26,2.50,0.67,33.61,35.11,33.64
0.01,-0.02,0.96,2.26,2.50,0.67,33.61,35.11,33.64
0.01,-0.02,0.96,3.54,1.10,0.24,34.07,35.60,33.94
0.01,-0.02,0.97,3.85,0.85,0.24,34.07,35.60,33.94
0.01,-0.02,0.97,3.85,0.85,0.24,34.07,35.60,33.94
0.01,-0.02,0.96,2.75,1.71,0.31,34.07,35.60,33.94
0.01,-0.02,0.96,2.50,2.08,0.61,34.07,35.60,33.94
0.01,-0.02,0.96,2.50,2.08,0.61,34.07,35.60,33.94
0.01,-0.02,0.96,3.11,1.46,0.31,34.07,35.60,33.94
0.01,-0.02,0.96,3.11,1.46,0.31,34.07,35.60,33.94
0.01,-0.02,0.96,2.44,1.95,0.49,34.07,35.60,33.94
0.01,-0.02,0.96,3.11,1.65,0.43,34.07,35.60,33.94
0.01,-0.02,0.96,3.11,1.65,0.43,34.11,35.46,34.19
0.01,-0.02,0.97,2.99,1.71,0.43,34.11,35.46,34.19
0.01,-0.02,0.97,2.20,2.38,0.61,34.11,35.46,34.19
0.01,-0.02,0.97,2.20,2.38,0.61,34.11,35.46,34.19
0.01,-0.02,0.96,3.05,1.53,0.43,34.11,35.46,34.19
0.01,-0.02,0.96,3.05,1.53,0.43,34.11,35.46,34.19
0.01,-0.02,0.96,4.03,0.73,0.24,34.11,35.46,34.19
0.01,-0.02,0.96,4.09,0.61,0.37,34.11,35.46,34.19
0.01,-0.02,0.96,4.09,0.61,0.37,34.11,35.46,34.19
0.01,-0.02,0.97,2.99,1.53,0.55,34.11,35.46,34.19
0.01,-0.02,0.97,2.99,1.53,0.55,34.20,35.07,33.47
0.01,-0.02,0.96,3.11,1.28,0.43,34.20,35.07,33.47
0.01,-0.02,0.97,2.93,1.46,0.37,34.20,35.07,33.47
0.01,-0.02,0.97,2.93,1.46,0.37,34.20,35.07,33.47
0.01,-0.02,0.97,2.38,2.14,0.61,34.20,35.07,33.47
0.01,-0.02,0.97,2.38,2.14,0.61,34.20,35.07,33.47
0.01,-0.02,0.96,2.81,1.40,0.43,34.20,35.07,33.47
0.01,-0.02,0.96,2.87,1.53,0.61,34.20,35.07,33.47
0.01,-0.02,0.96,2.87,1.53,0.61,34.20,35.07,33.47
0.01,-0.02,0.97,2.56,2.08,0.67,34.20,35.07,33.47
0.01,-0.02,0.97,2.56,2.08,0.67,34.05,35.07,33.50
0.01,-0.02,0.97,2.87,1.65,0.55,34.05,35.07,33.50
0.01,-0.02,0.97,2.75,1.71,0.55,34.05,35.07,33.50
0.01,-0.02,0.97,2.75,1.71,0.55,34.05,35.07,33.50
0.01,-0.02,0.96,3.30,1.28,0.55,34.05,35.07,33.50
0.01,-0.02,0.96,2.44,2.14,0.73,34.05,35.07,33.50
0.01,-0.02,0.96,2.44,2.14,0.73,34.05,35.07,33.50
0.01,-0.02,0.96,3.05,1.59,0.61,34.05,35.07,33.50
0.01,-0.02,0.96,3.05,1.59,0.61,34.05,35.07,33.50
0.01,-0.02,0.96,2.93,1.71,0.67,34.05,35.07,33.50
0.01,-0.02,0.97,2.81,1.59,0.49,33.84,34.77,33.79
0.01,-0.02,0.97,2.81,1.59,0.49,33.84,34.77,33.79
0.01,-0.02,0.96,2.50,1.95,0.43,33.84,34.77,33.79
0.01,-0.02,0.96,2.26,1.89,0.55,33.84,34.77,33.79
0.01,-0.02,0.97,2.26,1.89,0.55,33.84,34.77,33.79
0.01,-0.02,0.96,2.81,1.46,0.43,33.84,34.77,33.79
0.01,-0.02,0.96,2.81,1.46,0.43,33.84,34.77,33.79
0.01,-0.02,0.96,2.99,1.46,0.49,33.84,34.77,33.79
0.01,-0.02,0.96,2.32,2.01,0.61,33.84,34.77,33.79
0.01,-0.02,0.96,2.32,2.01,0.61,33.84,34.77,33.79
0.01,-0.02,0.97,2.75,1.83,0.61,33.64,35.23,33.91
0.01,-0.02,0.97,2.75,1.83,0.61,33.64,35.23,33.91
0.01,-0.02,0.97,2.81,1.71,0.37,33.64,35.23,33.91
0.01,-0.02,0.97,2.50,1.95,0.49,33.64,35.23,33.91
0.01,-0.02,0.97,2.50,1.95,0.49,33.64,35.23,33.91
0.01,-0.02,0.96,2.87,1.77,0.49,33.64,35.23,33.91
0.01,-0.02,0.96,2.87,1.77,0.49,33.64,35.23,33.91
0.01,-0.02,0.96,2.69,1.95,0.67,33.64,35.23,33.91
0.01,-0.02,0.96,2.75,2.08,0.61,33.64,35.23,33.91
0.01,-0.02,0.96,2.75,2.08,0.61,33.64,35.23,33.91
0.01,-0.02,0.97,3.11,1.83,0.55,33.97,35.16,33.29
0.01,-0.02,0.97,2.62,1.95,0.31,33.97,35.16,33.29
0.01,-0.02,0.97,2.62,1.95,0.31,33.97,35.16,33.29
0.01,-0.02,0.97,1.34,2.99,0.79,33.97,35.16,33.29
0.01,-0.02,0.97,1.34,2.99,0.79,33.97,35.16,33.29
0.01,-0.02,0.96,2.69,2.08,0.49,33.97,35.16,33.29
0.01,-0.02,0.96,2.69,1.83,0.43,33.97,35.16,33.29
0.01,-0.02,0.96,2.69,1.83,0.43,33.97,35.16,33.29
0.01,-0.02,0.96,2.69,1.83,0.43,33.97,35.16,33.29
0.01,-0.02,0.96,2.69,1.83,0.43,33.97,35.16,33.29
0.01,-0.02,0.96,2.32,2.08,0.49,34.36,35.11,33.72
0.01,-0.02,0.97,2.62,1.83,0.37,34.36,35.11,33.72
0.01,-0.02,0.97,2.62,1.83,0.37,34.36,35.11,33.72
0.01,-0.02,0.97,2.69,1.77,0.49,34.36,35.11,33.72
0.01,-0.02,0.97,1.83,2.38,0.67,34.36,35.11,33.72
0.01,-0.02,0.97,1.83,2.38,0.67,34.36,35.11,33.72
0.01,-0.02,0.97,3.36,1.22,0.37,34.36,35.11,33.72
0.01,-0.02,0.97,3.36,1.22,0.37,34.36,35.11,33.72
0.01,-0.02,0.97,2.50,1.71,0.49,34.36,35.11,33.72
0.01,-0.02,0.97,2.14,2.14,0.73,34.36,35.11,33.72
0.01,-0.02,0.96,2.14,2.14,0.73,34.13,35.16,32.84
0.01,-0.02,0.97,2.32,1.83,0.49,34.13,35.16,32.84
0.01,-0.02,0.97,2.32,1.83,0.49,34.13,35.16,32.84
0.01,-0.02,0.97,3.05,1.28,0.37,34.13,35.16,32.84
0.01,-0.02,0.97,1.95,2.14,0.61,34.13,35.16,32.84
0.01,-0.02,0.97,1.95,2.14,0.61,34.13,35.16,32.84
0.01,-0.02,0.96,2.56,1.65,0.37,34.13,35.16,32.84
0.01,-0.02,0.96,2.56,1.65,0.37,34.13,35.16,32.84
0.01,-0.02,0.96,2.69,1.71,0.49,34.13,35.16,32.84
0.01,-0.02,0.96,2.99,1.34,0.37,33.90,35.46,32.86
0.01,-0.02,0.96,2.99,1.34,0.37,33.90,35.46,32.86
0.01,-0.02,0.96,2.08,2.26,0.55,33.90,35.46,32.86
0.01,-0.02,0.97,3.11,1.46,0.43,33.90,35.46,32.86
0.01,-0.02,0.97,3.11,1.46,0.43,33.90,35.46,32.86
0.01,-0.02,0.97,1.46,2.81,0.85,33.90,35.46,32.86
0.01,-0.02,0.97,1.46,2.81,0.85,33.90,35.46,32.86
0.01,-0.02,0.96,2.81,1.65,0.55,33.90,35.46,32.86
0.01,-0.02,0.96,3.11,1.53,0.24,33.90,35.46,32.86
0.01,-0.02,0.96,3.11,1.53,0.24,33.90,35.46,32.86
0.01,-0.02,0.96,2.01,2.32,0.49,34.18,34.74,33.41
0.01,-0.02,0.96,3.30,1.46,0.43,34.18,34.74,33.41
0.01,-0.02,0.96,3.30,1.46,0.43,34.18,34.74,33.41
0.01,-0.02,0.97,3.78,0.85,0.18,34.18,34.74,33.41
0.01,-0.02,0.97,3.78,0.85,0.18,34.18,34.74,33.41
0.01,-0.02,0.97,2.32,2.08,0.67,34.18,34.74,33.41
0.01,-0.02,0.97,3.60,1.22,0.49,34.18,34.74,33.41
0.01,-0.02,0.96,3.60,1.22,0.49,34.18,34.74,33.41
0.01,-0.02,0.96,3.42,1.40,0.61,34.18,34.74,33.41
0.01,-0.02,0.96,3.42,1.40,0.61,34.18,34.74,33.41
0.01,-0.02,0.96,2.20,2.38,0.79,34.35,35.57,33.59
0.01,-0.02,0.96,3.11,1.65,0.49,34.35,35.57,33.59
0.01,-0.02,0.96,3.11,1.65,0.49,34.35,35.57,33.59
0.01,-0.02,0.97,2.44,2.14,0.79,34.35,35.57,33.59
0.01,-0.02,0.97,2.44,2.14,0.79,34.35,35.57,33.59
0.01,-0.02,0.97,2.99,1.46,0.67,34.35,35.57,33.59
0.01,-0.02,0.96,2.20,2.44,1.10,34.35,35.57,33.59
0.01,-0.02,0.96,2.20,2.44,1.10,34.35,35.57,33.59
0.02,-0.03,0.96,3.23,1.53,1.10,34.35,35.57,33.59
0.02,-0.03,0.96,3.23,1.53,1.10,34.35,35.57,33.59
0.02,-0.04,0.96,2.99,1.83,2.26,34.14,35.06,33.92
0.02,-0.04,0.96,3.23,1.46,4.70,34.14,35.06,33.92
0.02,-0.04,0.96,3.23,1.46,4.70,34.14,35.06,33.92
0.03,-0.04,0.96,2.99,1.89,8.54,34.14,35.06,33.92
0.02,-0.03,0.96,3.54,2.01,13.37,34.14,35.06,33.92
0.02,-0.03,0.96,3.54,2.01,13.37,34.14,35.06,33.92
0.02,-0.03,0.96,3.66,2.26,16.36,34.14,35.06,33.92
0.02,-0.03,0.96,3.66,2.26,16.36,34.14,35.06,33.92
0.01,-0.02,0.96,3.91,2.14,18.62,34.14,35.06,33.92
0.00,-0.01,0.96,3.85,2.26,18.62,34.14,35.06,33.92
0.00,-0.01,0.96,3.85,2.26,18.62,34.28,34.42,34.07
0.00,-0.01,0.96,3.78,2.01,18.01,34.28,34.42,34.07
0.01,-0.02,0.96,3.78,2.14,17.64,34.28,34.42,34.07
0.01,-0.02,0.96,3.78,2.14,17.64,34.28,34.42,34.07
0.02,-0.03,0.97,3.78,2.20,18.19,34.28,34.42,34.07
0.02,-0.03,0.97,3.78,2.20,18.19,34.28,34.42,34.07
0.00,-0.02,0.96,4.33,1.83,19.59,34.28,34.42,34.07
0.00,-0.01,0.96,3.97,2.08,19.65,34.28,34.42,34.07
0.00,-0.01,0.96,3.97,2.08,19.65,34.28,34.42,34.07
0.00,-0.01,0.96,3.72,2.32,17.88,34.28,34.42,34.07
0.00,-0.01,0.96,3.72,2.32,17.88,35.45,33.24,32.62
