ax,ay,az,gx,gy,gz,mx,my,mz
0.98,-0.09,0.09,75.68,225.83,-54.08,29.57,14.12,40.64
0.90,-0.09,0.06,74.77,227.23,-60.67,29.57,14.12,40.64
0.90,-0.09,0.06,74.77,227.23,-60.67,29.57,14.12,40.64
0.88,-0.05,0.06,78.31,229.74,-71.84,29.57,14.12,40.64
0.88,-0.05,0.06,88.87,232.48,-86.36,29.57,14.12,40.64
0.86,0.01,0.07,88.87,232.48,-86.36,25.09,12.94,42.46
0.83,0.07,0.07,103.64,237.98,-105.10,25.09,12.94,42.46
0.83,0.07,0.07,103.64,237.98,-105.10,25.09,12.94,42.46
0.82,0.01,0.12,118.10,244.51,-127.87,25.09,12.94,42.46
0.81,-0.10,0.07,128.72,255.25,-146.55,25.09,12.94,42.46
0.81,-0.10,0.07,128.72,255.25,-146.55,25.09,12.94,42.46
0.82,-0.21,-0.05,131.53,265.44,-155.09,25.09,12.94,42.46
0.82,-0.21,-0.05,131.53,265.44,-155.09,25.09,12.94,42.46
0.79,-0.31,-0.15,125.06,265.20,-154.54,25.09,12.94,42.46
0.71,-0.36,-0.24,110.29,256.53,-146.48,25.09,12.94,42.46
0.71,-0.36,-0.24,110.29,256.53,-146.48,19.18,11.39,44.34
0.60,-0.45,-0.33,91.61,243.96,-133.06,19.18,11.39,44.34
0.48,-0.48,-0.43,68.79,229.98,-111.94,19.18,11.39,44.34
0.48,-0.48,-0.43,68.79,229.98,-111.94,19.18,11.39,44.34
0.35,-0.39,-0.49,49.62,214.90,-87.10,19.18,11.39,44.34
0.35,-0.39,-0.49,49.62,214.90,-87.10,19.18,11.39,44.34
0.29,-0.23,-0.43,43.52,200.01,-71.29,19.18,11.39,44.34
0.23,-0.15,-0.40,51.64,190.92,-71.66,19.18,11.39,44.34
0.23,-0.15,-0.40,51.64,190.92,-71.66,19.18,11.39,44.34
0.17,-0.10,-0.42,66.10,189.15,-84.53,19.18,11.39,44.34
0.17,-0.10,-0.42,87.77,190.25,-102.29,13.95,9.22,45.58
0.17,-0.11,-0.41,87.77,190.25,-102.29,13.95,9.22,45.58
0.19,-0.18,-0.45,112.24,195.62,-119.75,13.95,9.22,45.58
0.19,-0.18,-0.45,112.24,195.62,-119.75,13.95,9.22,45.58
0.18,-0.31,-0.51,130.55,202.76,-131.04,13.95,9.22,45.58
0.15,-0.41,-0.58,138.55,211.36,-128.48,13.95,9.22,45.58
0.15,-0.41,-0.58,138.55,211.36,-128.48,13.95,9.22,45.58
0.12,-0.47,-0.75,136.54,221.86,-112.18,13.95,9.22,45.58
0.12,-0.47,-0.75,123.29,222.11,-88.26,13.95,9.22,45.58
0.05,-0.52,-0.84,123.29,222.11,-88.26,13.95,9.22,45.58
